Users, Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
User 1,0.45464748,0.06777148,2.78E-04,0.002612479,0.14954431,0.71744174,0.6055358,0.0442,0.7958181,0.6966185
User 1,0.42980206,0.0729619,1.65E-04,0.002192531,0.12554017,0.69948137,0.6044289,0.055,0.7966591,0.7146508
User 1,0.46838316,0.09547364,3.56E-04,0.002834799,0.16224352,0.71613365,0.59384155,0.0549,0.804582,0.6979631
User 1,0.45321217,0.070807114,2.16E-04,0.002401795,0.13750415,0.7170763,0.6146844,0.058,0.7887732,0.69699466
User 1,0.45064157,0.057905447,1.60E-04,0.002171425,0.12433325,0.7044325,0.61091024,0.0676,0.7916999,0.709771
User 1,0.55430293,0.08480669,3.85E-05,0.001354793,0.077604435,0.67140806,0.61191785,0.0358,0.79092133,0.7410879
User 1,0.45092696,0.08335539,8.48E-05,0.001758197,0.100694664,0.66608816,0.5877011,0.0644,0.80907816,0.74587303
User 2,0.46736538,0.0593942,8.91E-04,0.003849714,0.2201255,0.7465528,0.58290017,0.0601,0.8125438,0.6653262
User 2,0.4671926,0.05269713,7.39E-05,0.001679177,0.09617265,0.75091463,0.68400306,0.0431,0.72947913,0.6603993
User 2,0.5253002,0.11196853,1.96E-04,0.0023499,0.13453768,0.75821334,0.66383064,0.0231,0.74788296,0.6520065
User 2,0.44943652,0.052439816,1.33E-04,0.002058628,0.11788233,0.7496937,0.6666076,0.0273,0.7454088,0.66178495
User 2,0.48849708,0.08139178,5.09E-04,0.003200613,0.1831248,0.67614424,0.53045315,0.0252,0.84771425,0.73676926
User 2,0.6062334,0.17245826,1.27E-04,0.002036458,0.11661426,0.66128147,0.5694572,0.02,0.822021,0.75013787
User 2,0.5167644,0.047041543,1.03E-04,0.001899453,0.10877693,0.6704804,0.5859285,0.0253,0.81036276,0.74192727
User 2,0.4670493,0.027509924,1.16E-04,0.001954585,0.11193098,0.6850146,0.5993063,0.0337,0.8005198,0.72852933
User 2,0.5101079,0.04266631,2.38E-04,0.002515696,0.14401403,0.7091971,0.6005749,0.0169,0.7995685,0.70501024
User 2,0.50348055,0.0460677,6.33E-04,0.003468591,0.19840871,0.60606533,0.75117487,0.0148,0.66010326,0.79541487
User 2,0.54970986,0.063243166,3.88E-04,0.00293996,0.16824824,0.5994871,0.725188,0.0232,0.6885509,0.8003844
User 2,0.52062684,0.060119025,3.93E-04,0.00296218,0.16951677,0.58213717,0.7111096,0.0158,0.7030812,0.81309056
